Age_band_of_driver,Sex_of_driver,Educational_level,Vehicle_driver_relation,Driving_experience,Lanes_or_Medians,Types_of_Junction,Road_surface_type,Light_conditions,Weather_conditions,Type_of_collision,Vehicle_movement,Pedestrian_movement,Cause_of_accident,Accident_severity,speed
18-30,Male,Junior high school,Employee,Above 10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,No distancing,2,93
18-30,Male,Junior high school,Employee,Above 10yr,Two-way (divided with broken lines road marking),Y Shape,Gravel roads,Daylight,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,Changing lane to the right,2,72
31-50,Male,Junior high school,Employee,5-10yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the right,1,47
31-50,Male,Junior high school,Employee,1-2yr,Undivided Two way,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving at high speed,2,94
31-50,Male,Unknown,Employee,Below 1yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing,2,94
18-30,Male,Junior high school,Employee,Below 1yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Daylight,Normal,Rollover,Going straight,Not a Pedestrian,Changing lane to the right,2,75
18-30,Male,High school,Employee,2-5yr,Undivided Two way,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the left,2,36
18-30,Male,Junior high school,Owner,1-2yr,Two-way (divided with broken lines road marking),Other,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Getting off the vehicle improperly,2,40
31-50,Male,Junior high school,Employee,5-10yr,Undivided Two way,Other,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Other,2,60
Over 51,Male,Elementary school,Employee,2-5yr,Double carriageway (median),No junction,Asphalt roads,Daylight,Normal,Collision with pedestrians,Going straight,Not a Pedestrian,Other,2,100
31-50,Male,Elementary school,Owner,5-10yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing,2,70
31-50,Male,Junior high school,Employee,Above 10yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,No priority to vehicle,2,50
18-30,Unknown,Junior high school,Employee,5-10yr,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Overtaking,2,55
18-30,Male,High school,Employee,5-10yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Rollover,Going straight,Not a Pedestrian,No priority to pedestrian,2,111
31-50,Male,Junior high school,Employee,5-10yr,Double carriageway (median),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing,2,89
18-30,Unknown,Junior high school,Employee,Above 10yr,Two-way (divided with broken lines road marking),Unknown,Asphalt roads,Daylight,Raining,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the right,2,92
Over 51,Male,Junior high school,Unknown,1-2yr,Two-way (divided with broken lines road marking),Unknown,Gravel roads,Daylight,Raining,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving carelessly,2,73
18-30,Male,Junior high school,Employee,2-5yr,Unknown,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the right,2,103
31-50,Male,Junior high school,Employee,1-2yr,Double carriageway (median),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Overtaking,2,57
31-50,Male,Unknown,Unknown,Unknown,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,Other,2,53
31-50,Male,Elementary school,Employee,5-10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving to the left,2,103
Unknown,Female,Junior high school,Employee,5-10yr,One way,No junction,Earth roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving at high speed,2,24
31-50,Male,Junior high school,Employee,Above 10yr,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,Unknown,2,65
31-50,Unknown,Junior high school,Employee,2-5yr,Undivided Two way,O Shape,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,Changing lane to the right,2,45
18-30,Male,Junior high school,Owner,Above 10yr,other,O Shape,Unknown,Daylight,Normal,Vehicle with vehicle collision,Unknown,Not a Pedestrian,No distancing,2,49
18-30,Male,Junior high school,Employee,2-5yr,Two-way (divided with broken lines road marking),No junction,Gravel roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Other,2,56
31-50,Male,Elementary school,Other,5-10yr,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No priority to vehicle,2,69
18-30,Male,Elementary school,Employee,5-10yr,Two-way (divided with broken lines road marking),Crossing,Unknown,Darkness - lights lit,Normal,Vehicle with vehicle collision,Reversing,Not a Pedestrian,Changing lane to the left,2,14
31-50,Male,Junior high school,Unknown,5-10yr,Double carriageway (median),Crossing,Asphalt roads,Darkness - lights lit,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,No priority to pedestrian,2,71
31-50,Male,Junior high school,Employee,5-10yr,Undivided Two way,No junction,Earth roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Overtaking,2,32
31-50,Male,Elementary school,Employee,Above 10yr,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving carelessly,2,82
31-50,Male,Junior high school,Unknown,Below 1yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No priority to vehicle,2,39
31-50,Male,Junior high school,Employee,5-10yr,Double carriageway (median),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No priority to pedestrian,2,100
Over 51,Male,Elementary school,Employee,1-2yr,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Turnover,Not a Pedestrian,Changing lane to the right,1,36
Over 51,Unknown,Unknown,Unknown,Unknown,other,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving carelessly,2,105
31-50,Male,Junior high school,Employee,Above 10yr,Two-way (divided with broken lines road marking),Y Shape,Earth roads,Darkness - lights lit,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,Changing lane to the right,2,61
Under 18,Male,High school,Owner,2-5yr,Undivided Two way,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the right,2,57
31-50,Male,Junior high school,Employee,1-2yr,Undivided Two way,Crossing,Asphalt roads,Darkness - lights lit,Normal,Collision with pedestrians,Going straight,Not a Pedestrian,Changing lane to the left,1,66
31-50,Male,Junior high school,Employee,1-2yr,Double carriageway (median),Crossing,Asphalt roads,Darkness - lights lit,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,Overturning,1,84
Over 51,Male,Above high school,Owner,2-5yr,Undivided Two way,Unknown,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,Driving carelessly,2,46
Over 51,Male,Unknown,Unknown,Unknown,Undivided Two way,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Turnover,Not a Pedestrian,No distancing,2,43
Over 51,Unknown,Elementary school,Owner,2-5yr,other,Crossing,Asphalt roads,Darkness - lights lit,Normal,Rollover,Going straight,Not a Pedestrian,Driving carelessly,2,41
Over 51,Male,Junior high school,Employee,1-2yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the left,2,80
31-50,Male,Unknown,Owner,5-10yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Reversing,Not a Pedestrian,No priority to vehicle,2,11
18-30,Unknown,Junior high school,Employee,Below 1yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the right,1,80
18-30,Male,Junior high school,Employee,2-5yr,Double carriageway (median),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing,1,87
31-50,Male,Junior high school,Employee,5-10yr,Double carriageway (median),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Reversing,Not a Pedestrian,Moving Backward,0,17
31-50,Male,Junior high school,Employee,Above 10yr,Two-way (divided with broken lines road marking),No junction,Earth roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Moving Backward,0,35
18-30,Male,Elementary school,Employee,2-5yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,Not a Pedestrian,No distancing,2,19
18-30,Male,Elementary school,Owner,Above 10yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,Not a Pedestrian,No distancing,2,8
Over 51,Male,Junior high school,Employee,1-2yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,No distancing,2,98
Over 51,Male,Junior high school,Employee,5-10yr,Double carriageway (median),Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No priority to pedestrian,2,73
18-30,Male,Junior high school,Employee,2-5yr,Double carriageway (median),Y Shape,Other,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving carelessly,2,45
18-30,Male,Junior high school,Employee,2-5yr,Two-way (divided with broken lines road marking),Y Shape,Gravel roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the right,2,76
31-50,Male,Junior high school,Employee,2-5yr,Two-way (divided with broken lines road marking),Y Shape,Gravel roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the left,2,42
18-30,Unknown,Junior high school,Employee,2-5yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Darkness - lights lit,Normal,Collision with pedestrians,Going straight,Not a Pedestrian,Driving carelessly,2,97
Over 51,Male,Junior high school,Employee,Above 10yr,other,No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving carelessly,2,107
18-30,Male,Junior high school,Employee,Above 10yr,Two-way (divided with broken lines road marking),Y Shape,Earth roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing,2,47
31-50,Male,Elementary school,Employee,5-10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Other,2,52
18-30,Male,Unknown,Employee,Unknown,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the right,2,75
18-30,Male,Unknown,Employee,2-5yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the right,2,46
18-30,Male,Elementary school,Employee,5-10yr,Unknown,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Parked,Not a Pedestrian,No distancing,2,0
Over 51,Male,Junior high school,Employee,5-10yr,Two-way (divided with broken lines road marking),Crossing,Earth roads,Daylight,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,No distancing,2,54
31-50,Unknown,Junior high school,Employee,Above 10yr,Undivided Two way,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Overturning,2,81
Under 18,Male,Junior high school,Employee,5-10yr,Undivided Two way,No junction,Asphalt roads,Darkness - no lighting,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving at high speed,1,86
Under 18,Male,Junior high school,Employee,Above 10yr,One way,No junction,Asphalt roads,Darkness - no lighting,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No priority to vehicle,1,64
Under 18,Male,Elementary school,Employee,Below 1yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Darkness - no lighting,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No priority to pedestrian,1,90
Under 18,Male,Elementary school,Employee,5-10yr,One way,No junction,Asphalt roads,Darkness - no lighting,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No priority to vehicle,1,87
Over 51,Male,Elementary school,Employee,1-2yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights unlit,Normal,Vehicle with vehicle collision,Turnover,Not a Pedestrian,Other,2,32
31-50,Unknown,Elementary school,Employee,5-10yr,Double carriageway (median),Y Shape,Asphalt roads,Darkness - lights unlit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Other,2,54
31-50,Male,Elementary school,Employee,5-10yr,Unknown,Y Shape,Asphalt roads,Darkness - lights unlit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Moving Backward,2,107
18-30,Male,Elementary school,Employee,2-5yr,Unknown,Crossing,Asphalt roads,Daylight,Normal,Rollover,Unknown,Not a Pedestrian,No distancing,2,61
31-50,Male,Elementary school,Employee,5-10yr,other,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,Not a Pedestrian,Moving Backward,2,16
31-50,Unknown,Unknown,Unknown,5-10yr,Unknown,Crossing,Earth roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No priority to vehicle,2,52
18-30,Male,Junior high school,Employee,Above 10yr,One way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,Not a Pedestrian,Driving carelessly,2,8
Unknown,Female,Junior high school,Employee,Above 10yr,Undivided Two way,Crossing,Asphalt roads,Darkness - lights lit,Normal,Collision with roadside objects,Turnover,Not a Pedestrian,No distancing,2,40
18-30,Unknown,Elementary school,Employee,Below 1yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Other,2,80
18-30,Male,Elementary school,Employee,5-10yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the right,2,114
18-30,Male,Elementary school,Owner,5-10yr,Two-way (divided with broken lines road marking),Crossing,Earth roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Unknown,Not a Pedestrian,No distancing,2,38
31-50,Male,Elementary school,Employee,2-5yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Darkness - lights lit,Raining,Collision with roadside objects,Going straight,Not a Pedestrian,Driving carelessly,2,41
18-30,Male,Elementary school,Employee,Above 10yr,other,No junction,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing,2,74
18-30,Male,Elementary school,Employee,2-5yr,other,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No priority to vehicle,2,115
31-50,Male,Junior high school,Employee,Above 10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the right,2,58
18-30,Male,Junior high school,Employee,Below 1yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Reversing,Not a Pedestrian,No priority to pedestrian,2,16
18-30,Male,Junior high school,Employee,2-5yr,other,Other,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,No priority to vehicle,1,50
Under 18,Unknown,Elementary school,Employee,5-10yr,other,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the left,2,110
Over 51,Male,Elementary school,Employee,5-10yr,Undivided Two way,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Turnover,2,74
31-50,Male,Elementary school,Employee,1-2yr,other,No junction,Other,Daylight,Normal,Vehicle with vehicle collision,Turnover,Not a Pedestrian,Driving to the left,2,67
18-30,Male,Elementary school,Employee,Unknown,Undivided Two way,No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Reversing,Not a Pedestrian,Driving carelessly,2,7
18-30,Male,Junior high school,Employee,1-2yr,Undivided Two way,No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving to the left,2,106
18-30,Male,Unknown,Employee,5-10yr,Double carriageway (median),No junction,Asphalt roads,Darkness - lights lit,Normal,Collision with pedestrians,Going straight,Not a Pedestrian,Driving carelessly,2,91
31-50,Male,Elementary school,Owner,1-2yr,other,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Turnover,Not a Pedestrian,No priority to pedestrian,2,46
Under 18,Male,Junior high school,Employee,5-10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Moving Backward,Not a Pedestrian,Driving carelessly,2,17
18-30,Male,Junior high school,Employee,2-5yr,other,Y Shape,Asphalt roads,Darkness - lights lit,Raining,Collision with roadside objects,Going straight,Not a Pedestrian,Changing lane to the right,2,108
31-50,Male,Junior high school,Employee,2-5yr,other,No junction,Asphalt roads,Darkness - no lighting,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Moving Backward,1,75
18-30,Unknown,Junior high school,Employee,5-10yr,Two-way (divided with broken lines road marking),Crossing,Earth roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving carelessly,2,65
31-50,Male,Junior high school,Owner,Below 1yr,other,No junction,Asphalt roads,Darkness - lights lit,Normal,Collision with pedestrians,Reversing,Not a Pedestrian,Changing lane to the right,2,15
31-50,Male,High school,Employee,Below 1yr,Undivided Two way,Crossing,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving carelessly,1,100
31-50,Male,Junior high school,Employee,Unknown,Undivided Two way,Crossing,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving carelessly,1,61
Under 18,Male,Junior high school,Employee,Below 1yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Darkness - lights lit,Normal,Collision with pedestrians,Going straight,Not a Pedestrian,Driving carelessly,1,74
Under 18,Male,Junior high school,Employee,2-5yr,Undivided Two way,No junction,Asphalt roads,Darkness - lights lit,Normal,Collision with pedestrians,Parked,Not a Pedestrian,Changing lane to the right,1,2
18-30,Unknown,Junior high school,Employee,2-5yr,Double carriageway (median),Y Shape,Asphalt roads,Darkness - lights lit,Raining,Collision with pedestrians,Going straight,Not a Pedestrian,Changing lane to the right,2,59
18-30,Male,Junior high school,Employee,5-10yr,other,Y Shape,Asphalt roads,Darkness - lights lit,Raining,Collision with roadside objects,Going straight,Not a Pedestrian,Driving carelessly,2,36
